V2CuSn,25,V,Cu,Sn,NormMom,0.3732,6.272,0.911615,0.12109,0.8988,0.9688,0.8988,0.07,None,-0.050154
V2NiSb,25,V,Ni,Sb,NormMom,0.8243,6.164,0.309658,0.51578,-1.2468,-0.8668,0.8668,0.38,None,-0.021381
V2ZnAl,25,V,Zn,Al,A1Mom,-0.3226,6.105,0.402135,0.05498,0.9397,1.1397,0.9397,0.2,None,-0.085566
Cr2CoP,26,Cr,Co,P,NormMom,2,5.615,-0.869057,1,-0.0229,0.4171,0.0229,0.44,Half-Metal,-0.192574
Cr2CoSb,26,Cr,Co,Sb,A1Mom,-2.0011,6.063,0.596006,-0.97766,0.1013,0.4613,0.1013,0.36,None,-0.839811
Cr2CuAl,26,Cr,Cu,Al,A1Mom,-1.0419,5.954,0.307473,-0.20775,0.4604,0.6404,0.4604,0.18,None,-0.752179
Cr2CuGa,26,Cr,Cu,Ga,A1Mom,-0.5484,5.981,0.570894,-0.13783,0.7807,0.9807,0.7807,0.2,None,-0.443504
Cr2NiGe,26,Cr,Ni,Ge,NormMom,1.986,5.826,-0.055569,0.4265,-0.1159,-0.0759,0.0759,0.04,None,-0.523125
Cr2NiSi,26,Cr,Ni,Si,NormMom,1.968,5.706,-0.776282,-0.39488,-0.3809,-0.1109,0.1109,0.27,None,-0.606163
Cr2NiSn,26,Cr,NI,Sn,A1Mom,-1.1193,6.18,-5.114639,0.1716,-1.8661,-1.2561,1.2561,0.61,None,-0.62419
Mn2CoAl,26,Mn,Co,Al,A1Mom,-2.0001,5.736,-1.066615,-1,-0.1002,0.2798,0.1002,0.38,Half-Metal,-0.50221
Mn2CoGa,26,Mn,Co,Ga,NormMom,2.0013,5.769,-0.669114,0.96535,0.1185,0.1885,0.1185,0.07,None,-0.32277
Mn2CoIn,26,Mn,Co,In,A1Mom,-1.9614,6.091,0.545713,-0.42461,-1.2078,-1.1578,1.1578,0.05,None,-0.123573
Mn2FeGe,26,Mn,Fe,Ge,NormMom,2.0023,5.723,-0.56283,0.96958,0.1299,0.5299,0.1299,0.4,None,-0.430655
Mn2FeSi,26,Mn,Fe,Si,A1Mom,-2.0017,5.603,-1.422711,-0.93633,0.1053,0.3353,0.1053,0.23,None,-0.399588
Mn2FeSn,26,Mn,Fe,Sn,NormMom,2.0001,6.057,0.268569,0.99665,0.7841,0.7941,0.7841,0.01,None,-0.118107
Cr2CuGe,27,Cr,Cu,Ge,A1Mom,-0.7288,5.962,0.71404,0.15089,0.489,0.979,0.489,0.49,None,-0.146553
Cr2CuSi,27,Cr,Cu,Si,NormMom,0.9045,5.773,0.163882,-0.66933,0.5386,0.6286,0.5386,0.09,None,-0.277348
Cr2CuSn,27,Cr,Cu,Sn,A1Mom,-0.2746,6.283,0.909913,-0.0445,-1.9438,-1.5938,1.5938,0.35,None,-0.359145
Cr2NiSb,27,Cr,Ni,Sb,A1Mom,-1.2817,6.132,0.628989,0.60675,0.7342,0.7842,0.7342,0.05,None,-0.582666
